Gender,Age,Dur,ppv
Male,6,27,18.65338033
Male,6,28,19.09005353
Male,6,29,19.51344016
Male,6,30,19.92392037
Male,6,31,20.32185626
Male,6,32,20.70759252
Male,6,33,21.08145709
Male,6,34,21.44376185
Male,6,35,21.79480317
Male,6,36,22.13486277
Male,6,37,22.46420828
Male,6,38,22.783094
Male,6,39,23.0917616
Male,6,40,23.39044081
Male,6,41,23.67935018
Male,6,42,23.95869781
Male,6,43,24.22868201
Male,6,44,24.48949209
Male,6,45,24.74130911
Male,6,46,24.98430182
Male,6,47,25.21863513
Male,6,48,25.44446368
Male,6,49,25.6619321
Male,6,50,25.87117523
Male,7,13,10.89152916
Male,7,14,11.56320363
Male,7,15,12.21457136
Male,7,16,12.84623857
Male,7,17,13.45879361
Male,7,18,14.0528075
Male,7,19,14.62883442
Male,7,20,15.1874122
Male,7,21,15.7290628
Male,7,22,16.25429275
Male,7,23,16.76359366
Male,7,24,17.25744257
Male,7,25,17.73630245
Male,7,26,18.20062178
Male,7,27,18.65083152
Male,7,28,19.08734282
Male,7,29,19.5105476
Male,7,30,19.92081921
Male,7,31,20.318513
Male,7,32,20.70396709
Male,7,33,21.07750302
Male,7,34,21.43942636
Male,7,35,21.79002755
Male,7,36,22.12958252
Male,7,37,22.45835346
Male,7,38,22.77658952
Male,7,39,23.08452755
Male,7,40,23.38239291
Male,7,41,23.6704001
Male,7,42,23.9487536
Male,7,43,24.2176486
Male,7,44,24.47727175
Male,7,45,24.72779706
Male,7,46,24.96939452
Male,7,47,25.20222358
Male,7,48,25.42643336
Male,7,49,25.64216288
Male,7,50,25.84954137
Male,8,12,10.19828363
Male,8,13,10.89078796
Male,8,14,11.5623558
Male,8,15,12.21361216
Male,8,16,12.84516366
Male,8,17,13.45759901
Male,8,18,14.05148959
Male,8,19,14.62738989
Male,8,20,15.18583806
Male,8,21,15.72735636
Male,8,22,16.25245163
Male,8,23,16.7616157
Male,8,24,17.25532591
Male,8,25,17.73404462
Male,8,26,18.19821619
Male,8,27,18.64826451
Male,8,28,19.08459365
Male,8,29,19.50758853
Male,8,30,19.91761554
Male,8,31,20.31502327
Male,8,32,20.70014323
Male,8,33,21.07329048
Male,8,34,21.43476446
Male,8,35,21.78484965
Male,8,36,22.12381637
Male,8,37,22.45192152
Male,8,38,22.76940928
Male,8,39,23.07651198
Male,8,40,23.37345081
Male,8,41,23.66043656
Male,8,42,23.93767048
Male,8,43,24.20534503
Male,8,44,24.46363959
Male,8,45,24.71272943
Male,8,46,24.95277895
Male,8,47,25.18394188
Male,8,48,25.40636157
Male,8,49,25.62017125
Male,8,50,25.82549452
Male,9,11,9.483655102
Male,9,12,10.19764398
Male,9,13,10.89004682
Male,9,14,11.56150804
Male,9,15,12.21265306
Male,9,16,12.84408887
Male,9,17,13.45640456
Male,9,18,14.05017184
Male,9,19,14.62594554
Male,9,20,15.18426414
Male,9,21,15.72565018
Male,9,22,16.25061078
Male,9,23,16.75963806
Male,9,24,17.25320875
Male,9,25,17.73178098
Male,9,26,18.19579179
Male,9,27,18.64565779
Male,9,28,19.08177584
Male,9,29,19.5045237
Male,9,30,19.91426078
Male,9,31,20.31132886
Male,9,32,20.69605279
Male,9,33,21.06874129
Male,9,34,21.42968768
Male,9,35,21.77917065
Male,9,36,22.11745507
Male,9,37,22.4447927
Male,9,38,22.76142309
Male,9,39,23.06757427
Male,9,40,23.3634636
Male,9,41,23.64929854
Male,9,42,23.92527754
Male,9,43,24.19158553
Male,9,44,24.44840324
Male,9,45,24.69590016
Male,9,46,24.9342348
Male,9,47,25.16355492
Male,9,48,25.38399793
Male,9,49,25.59569123
Male,9,50,25.79875275
Male,10,10,8.74696245
Male,10,11,9.483111411
Male,10,12,10.19700437
Male,10,13,10.88930575
Male,10,14,11.56066037
Male,10,15,12.21169406
Male,10,16,12.8430142
Male,10,17,13.45521024
Male,10,18,14.04885425
Male,10,19,14.62450139
Male,10,20,15.18269044
Male,10,21,15.72394425
Male,10,22,16.24877021
Male,10,23,16.75765987
Male,10,24,17.25108555
Male,10,25,17.72949787
Male,10,26,18.19332637
Male,10,27,18.64298023
Male,10,28,19.07884892
Male,10,29,19.50130301
Male,10,30,19.9106949
Male,10,31,20.30735952
Male,10,32,20.69161516
Male,10,33,21.06376424
Male,10,34,21.42409412
Male,10,35,21.77287788
Male,10,36,22.1103751
Male,10,37,22.43683275
Male,10,38,22.75248595
Male,10,39,23.0575588
Male,10,40,23.35226521
Male,10,41,23.63680977
Male,10,42,23.91138317
Male,10,43,24.17617173
Male,10,44,24.43135022
Male,10,45,24.67708205
Male,10,46,24.91351959
Male,10,47,25.14080449
Male,10,48,25.35906812
Male,10,49,25.56843206
Male,10,50,25.76900868
Male,11,9,7.987502601
Male,11,10,8.746508699
Male,11,11,9.482567758
Male,11,12,10.19636482
Male,11,13,10.88856474
Male,11,14,11.55981277
Male,11,15,12.21073515
Male,11,16,12.84193964
Male,11,17,13.45401606
Male,11,18,14.04753682
Male,11,19,14.62305742
Male,11,20,15.18111695
Male,11,21,15.72223856
Male,11,22,16.24692904
Male,11,23,16.75567539
Male,11,24,17.24894223
Male,11,25,17.72717242
Male,11,26,18.19078785
Male,11,27,18.6401901
Male,11,28,19.07576123
Male,11,29,19.49786458
Male,11,30,19.90684547
Male,11,31,20.3030321
Male,11,32,20.68673626
Male,11,33,21.05825425
Male,11,34,21.41786761
Male,11,35,21.76584398
Male,11,36,22.10243801
Male,11,37,22.42789213
Male,11,38,22.74243736
Male,11,39,23.04629429
Male,11,40,23.33967385
Male,11,41,23.62277265
Male,11,42,23.89578279
Male,11,43,24.15888447
Male,11,44,24.41224618
Male,11,45,24.65602501
Male,11,46,24.89036702
Male,11,47,25.11540765
Male,11,48,25.33127226
Male,11,49,25.5380767
Male,11,50,25.73592803
Male,12,8,7.204549806
Male,12,9,7.987132304
Male,12,10,8.746054977
Male,12,11,9.482024144
Male,12,12,10.19572531
Male,12,13,10.88782379
Male,12,14,11.55896525
Male,12,15,12.20977634
Male,12,16,12.8408652
Male,12,17,13.45282202
Male,12,18,14.04621956
Male,12,19,14.62161364
Male,12,20,15.17954368
Male,12,21,15.7205322
Male,12,22,16.24508134
Male,12,23,16.75367013
Male,12,24,17.2467552
Male,12,25,17.72477155
Male,12,26,18.18813322
Male,12,27,18.63723414
Male,12,28,19.07244895
Male,12,29,19.49413369
Male,12,30,19.90262675
Male,12,31,20.29824961
Male,12,32,20.68130776
Male,12,33,21.0520915
Male,12,34,21.41087679
Male,12,35,21.75792617
Male,12,36,22.0934896
Male,12,37,22.41780531
Male,12,38,22.7311007
Male,12,39,23.03359327
Male,12,40,23.32548574
Male,12,41,23.60697618
Male,12,42,23.87825038
Male,12,43,24.13948206
Male,12,44,24.39083319
Male,12,45,24.63245438
Male,12,46,24.86448527
Male,12,47,25.08705511
Male,12,48,25.30028335
Male,12,49,25.50428038
Male,12,50,25.69914849
Male,13,7,6.397354903
Male,13,8,7.204255989
Male,13,9,7.986762027
Male,13,10,8.745601283
Male,13,11,9.481480569
Male,13,12,10.19508586
Male,13,13,10.88708291
Male,13,14,11.55811782
Male,13,15,12.20881763
Male,13,16,12.83979088
Male,13,17,13.45162812
Male,13,18,14.04490246
Male,13,19,14.62017006
Male,13,20,15.17796968
Male,13,21,15.71881907
Male,13,22,16.24321215
Male,13,23,16.75161975
Male,13,24,17.24449035
Male,13,25,17.72225089
Male,13,26,18.18530753
Male,13,27,18.63404655
Male,13,28,19.06883506
Male,13,29,19.49002195
Male,13,30,19.89793871
Male,13,31,20.29290031
Male,13,32,20.67520608
Male,13,33,21.04514054
Male,13,34,21.40297442
Male,13,35,21.74896541
Male,13,36,22.08335916
Male,13,37,22.40639014
Male,13,38,22.71828261
Male,13,39,23.01924557
Male,13,40,23.30948327
Male,13,41,23.58918726
Male,13,42,23.85853666
Male,13,43,24.11769848
Male,13,44,24.36682799
Male,13,45,24.6060692
Male,13,46,24.83555535
Male,13,47,25.05540961
Male,13,48,25.26574581
Male,13,49,25.4666694
Male,13,50,25.65827852
Male,14,6,5.565144552
Male,14,7,6.397130082
Male,14,8,7.203962186
Male,14,9,7.986391771
Male,14,10,8.745147618
Male,14,11,9.480937032
Male,14,12,10.19444646
Male,14,13,10.88634209
Male,14,14,11.55727046
